opid	operator	atype	remarks	phase_of_flt	ac_mass	num_engs	date	time_of_day	state	height	speed	effect	sky	species	birds_seen	birds_struck
ROA	RENO AIR	MD-87	FLT168 FROM RENO TO SAN DIEGO RETD AFTER STRIKING BIRD ON  ROTATION AT 1134 PDT. MINOR DAMAGE TO RADOME. A/C DEPTD AT 1236  PDT.	Take-off run	4	2	5/14/1995 0:00:00	Day	NV	0	NA	Precautionary Landing	Overcast	UNKNOWN BIRD	NA	1
SKW	SKYWEST AIRLINES	SA227 AC METRO III	ON LANDING R/O ENG. #2 INGESTED A SMALL BIRD.  RESIDUE ON SPINNER  & INTAKE.	Landing Roll	2	2	5/17/1994 0:00:00	Dusk	CA	0	90	None	No Cloud	UNKNOWN BIRD - SMALL	NA	1
COM	COMAIR AIRLINES	EMB-120	NA	Climb	3	2	9/27/1994 0:00:00	Day	KY	200	160	None	Overcast	UNKNOWN BIRD - SMALL	NA	1
AAL	AMERICAN AIRLINES	MD-80	NO DAMAGE.	Take-off run	4	2	5/30/1993 0:00:00	Day	MA	0	NA	None	No Cloud	GULLS	NA	1
ASA	ALASKA AIRLINES	EMB-120	NO DAMAGE	Landing Roll	3	2	8/25/1994 0:00:00	Day	AL	0	100	None	No Cloud	EGRETS	NA	2-10
PVT	PRIVATELY OWNED	M-20	NO DAMAGE	Climb	1	1	8/25/1994 0:00:00	Day	GA	50	NA	None	Some Cloud	UNKNOWN BIRD - MEDIUM	2-10	2-10
USA	US AIRWAYS	DC-9	ADVISED BY AIRLINE DISPATCH THAT A LANDING LIGHT WAS DAMAGED.  PILOT WAS NOT AWARE OF STRIKE.	Take-off run	4	2	8/25/1994 0:00:00	Day	PA	0	NA	None	Some Cloud	GULLS	NA	2-10
REC	REGIONAL EXPRESS	BE-1900	NA	Landing Roll	3	2	11/3/1995 0:00:00	Day	VA	0	100	None	Some Cloud	GULLS	NA	1
AAL	AMERICAN AIRLINES	MD-82	VERY HUMID. A LOT OF BUGS AT ALT.	Approach	4	2	9/25/1994 0:00:00	Night	NE	5000	240	None	No Cloud	UNKNOWN BIRD - SMALL	NA	1
SWA	SOUTHWEST AIRLINES	B-737	REPT STRIKE ON DEPT. ROLL, FLT CONTD. TO HOU W/ NO REPTD. DAMAGE.	Take-off run	4	2	9/25/1994 0:00:00	Day	TX	0	NA	None	NA	UNKNOWN BIRD	NA	1
PVT	PRIVATELY OWNED	C-152	NOT SEEN BY PILOT, NO DAMAGE.	Climb	1	1	9/25/1994 0:00:00	Day	CA	5	60	None	Some Cloud	RED-TAILED HAWK	NA	1
USA	US AIRWAYS	B-737-300	A/C NOT DAMAGED.	Climb	4	2	9/27/1992 0:00:00	Night	IN	100	170	None	No Cloud	UNKNOWN BIRD - LARGE	NA	1
AAL	AMERICAN AIRLINES	B-757-200	NA	Climb	4	2	7/11/1993 0:00:00	Day	IL	75	150	None	Some Cloud	GULLS	2-10	1
USA	US AIRWAYS	B-737-200	# 1 ENG SHOWED LIGHT DAMAGE.  ONE BLADE SHOWED LITTLE DAMAGE.  CREW DID NOT SEE ANY BIRDS, SMELLED AN ODOR IN COCKPIT & GUESSED  THEY INGESTED A BIRD.	Climb	4	2	7/12/1993 0:00:00	Day	TN	1000	200	None	Some Cloud	UNKNOWN BIRD - MEDIUM	NA	1
FLG	PINNACLE (FORMERLY EXPSAIRL 1)	BA-31 JETSTR	NO DAMAGE	Approach	2	2	8/10/1993 0:00:00	Dusk	TN	400	125	None	Some Cloud	AMERICAN CROW	NA	1
USA	US AIRWAYS	B-737-400	NO DAMAGE.	Climb	4	2	8/19/1993 0:00:00	Day	OH	100	170	None	Some Cloud	BLACKBIRDS	NA	2-10
BUS	BUSINESS	CL-601/604	NA	Approach	3	2	6/21/1995 0:00:00	Day	VA	10	120	None	Some Cloud	CROWS	NA	1
SWA	SOUTHWEST AIRLINES	B-737	FLT 697, NO REPTD. DAMAGE.	Take-off run	4	2	6/21/1995 0:00:00	Day	TX	0	NA	None	NA	UNKNOWN BIRD	NA	1
LOF	TRANS STATES AIRLINES	BA-31 JETSTR	NO LOSS OF REVENUE OR DAMAGE.	Landing Roll	2	2	6/21/1995 0:00:00	NA	IL	0	90	None	NA	UNKNOWN BIRD - SMALL	NA	1
SWA	SOUTHWEST AIRLINES	B-737-300	NA	NA	4	2	7/26/1995 0:00:00	Night	AZ	NA	NA	None	No Cloud	UNKNOWN BIRD - SMALL	NA	1
QXE	HORIZON AIR	SA227 AC METRO III	FLOCK CROSSED OUR FLIGHT PATH STRIKING 2 COOTS. 1 HIT JUST INBOARD OF LANDING LIGHT. UNEVENTFUL LANDING.	Approach	2	2	11/30/1994 0:00:00	Day	ID	75	111	None	Overcast	AMERICAN COOT	2-10	2-10
BUS	BUSINESS	CL-600	2 ROBINS	Landing Roll	3	2	8/3/1994 0:00:00	Day	GA	0	80	None	Overcast	AMERICAN ROBIN	2-10	2-10
AAL	AMERICAN AIRLINES	DC-10-10	NOT OBSERVED UNTIL JUST BEFORE IMPACT	Approach	4	3	7/29/1994 0:00:00	Day	IL	800	140	None	Some Cloud	UNKNOWN BIRD - LARGE	NA	1
BUS	BUSINESS	C-414	NO DAMAGE	Approach	2	2	4/3/1996 0:00:00	Night	NJ	NA	NA	NA	NA	UNKNOWN BIRD	NA	1
FDX	FEDEX EXPRESS	DC-10-10	TIME = 2312E. FLT 1198 DEPTD PHL & STRUCK A DEER. LANDED EWR,  ARFF RESPONDED & REPTD MINOR DAMAGE TO RT MAIN GEAR BRAKE.	Take-off run	4	3	1/25/1995 0:00:00	Night	PA	0	NA	Precautionary Landing	NA	WHITE-TAILED DEER	NA	1
SWA	SOUTHWEST AIRLINES	B-737-500	DURING LANDING ROLLOUT, HIT FLOCK OF SMALL BIRDS. NO DAMAGE	Landing Roll	4	2	6/16/1994 0:00:00	Day	TX	0	130	None	Some Cloud	UNKNOWN BIRD - SMALL	2-10	2-10
GLA	GREAT LAKES AIRLINES	BE-1900	NA	Approach	3	2	11/11/1995 0:00:00	Day	IL	300	140	None	Overcast	UNKNOWN BIRD - LARGE	2-10	1
ERE	ERIE AIRWAYS	C-500	NA	Approach	2	2	11/14/1995 0:00:00	Day	PA	50	112	None	Overcast	FINCHES	2-10	2-10
UPS	UPS AIRLINES	B-757-200	NA	Climb	4	2	10/6/1995 0:00:00	Night	TN	1500	210	None	No Cloud	UNKNOWN BIRD - SMALL	NA	1
PVT	PRIVATELY OWNED	BE-55  BARON	CRUSHED LE OF R WING OUTSIDE ENG NACELLE.	En Route	2	2	4/1/1992 0:00:00	Day	FL	1300	180	NA	No Cloud	ANHINGA	2-10	2-10
SWA	SOUTHWEST AIRLINES	B-737-300	SUBSTANTIAL DAMAGE TO #1 ENG & LOSS OF REVENUE.	Landing Roll	4	2	12/3/1994 0:00:00	Day	CA	0	120	NA	Some Cloud	HAWKS	NA	1
PVT	PRIVATELY OWNED	MU2	NA	Take-off run	2	2	2/24/1996 0:00:00	Day	VA	0	NA	NA	Some Cloud	UNKNOWN BIRD	NA	1
UAL	UNITED AIRLINES	B-757-200	TIME = 0007Z  NO DAMAGE. FLT 1607. A/C CONTD TO KSAN.	Take-off run	4	2	4/26/1993 0:00:00	Night	CO	0	NA	None	NA	HAWKS	NA	1
EGF	AMERICAN EAGLE AIRLINES	BA-31 JETSTR	NA	Landing Roll	2	2	5/28/1995 0:00:00	Day	GA	0	NA	None	No Cloud	UNKNOWN BIRD - SMALL	NA	1
MEP	MIDWEST AIRLINES	DC-9	NA	Landing Roll	4	2	6/5/1993 0:00:00	Day	WI	0	100	None	No Cloud	GULLS	NA	1
PVT	PRIVATELY OWNED	UNKNOWN	NA	Approach	NA	NA	1/23/1995 0:00:00	Night	SC	400	130	None	Overcast	SPARROWS	2-10	2-10
HAL	HAWAIIAN AIR	DC-9-50	NO DAMAGE	Climb	4	2	7/10/1994 0:00:00	Day	HI	200	140	None	No Cloud	UNKNOWN BIRD - SMALL	2-10	1
BUS	BUSINESS	CL-601/604	PILOT NOTIFIED GC THAT IT WAS PROBABLY A VERY SMALL BIRD  INGESTED. HE WOULD CALL BACK IF THERE WAS DAMAGE TO A/C.	Climb	3	2	7/10/1994 0:00:00	Day	NH	60	NA	Precautionary Landing	Some Cloud	UNKNOWN BIRD	NA	1
EGF	AMERICAN EAGLE AIRLINES	BA-31 JETSTR	NA	Take-off run	2	2	8/7/1993 0:00:00	Day	CA	0	NA	None	Overcast	UNKNOWN BIRD - SMALL	NA	1
BLR	ATLANTIC COAST AIRLINES	BA-31 JETSTR	NO DAMAGE.	Approach	2	2	10/25/1995 0:00:00	Night	PA	1600	180	None	No Cloud	UNKNOWN BIRD - SMALL	NA	1
BUS	BUSINESS	BE-200 KING	NO DAMAGE	Approach	2	2	10/25/1995 0:00:00	Night	NA	2000	220	None	No Cloud	UNKNOWN BIRD - MEDIUM	NA	2-10
PVT	PRIVATELY OWNED	C-500	NA	Landing Roll	2	2	6/10/1994 0:00:00	Day	OH	0	110	None	Some Cloud	SPARROWS	NA	1
USA	US AIRWAYS	B-737-200	SPARROW SIZED BIRD STRUCK IMMEDIATELY AFTER ALL LANDING LIGHTS  ILLUMINATED. WX RADAR TURNED ON THEN 2ND BIRD STRUCK.	Approach	4	2	10/22/1992 0:00:00	Night	NC	1300	150	NA	No Cloud	UNKNOWN BIRD - SMALL	NA	2-10
AAL	AMERICAN AIRLINES	MD-82	REPORTED AS ROBINS & DOVES. 2-3 BIRDS STRUCK LEFT SIDE OF  FUSELAGE, NO APPARENT DAMAGE.	Climb	4	2	1/12/1994 0:00:00	Day	CA	200	215	None	No Cloud	DOVES	2-10	2-10
ANZ	AIR NEW ZEALAND	B-747-400	NA	Approach	5	4	1/16/1994 0:00:00	Day	CA	400	155	None	NA	GULLS	NA	1
BUS	BUSINESS	B-727-200	NA	Approach	4	3	10/22/1994 0:00:00	Night	MN	1500	170	None	No Cloud	UNKNOWN BIRD - SMALL	NA	1
UNK	UNKNOWN	UNKNOWN	FOUND DURING DAY.	NA	NA	NA	6/27/1996 0:00:00	NA	NJ	NA	NA	NA	NA	EASTERN MEADOWLARK	NA	1
SWA	SOUTHWEST AIRLINES	B-737-500	NO DAMAGE/INJURY	Descent	4	2	9/6/1996 0:00:00	Day	NV	7000	210	NA	No Cloud	BLACKBIRDS	NA	1
USA	US AIRWAYS	BE-1900	NO DAMAGE.	Approach	3	2	10/7/1995 0:00:00	Day	CT	10	100	None	Overcast	GULLS	2-10	1
AAL	AMERICAN AIRLINES	MD-80	ON FLARE	Landing Roll	4	2	8/7/1995 0:00:00	Day	TX	0	120	None	No Cloud	ROCK PIGEON	2-10	1
BLR	ATLANTIC COAST AIRLINES	BA-31 JETSTR	TWO KILLDEER	Approach	2	2	8/7/1995 0:00:00	Day	NY	10	120	None	Some Cloud	KILLDEER	11-100	2-10
USA	US AIRWAYS	DC-9	NO DAMAGE.	Take-off run	4	2	8/10/1993 0:00:00	Day	VA	0	NA	None	No Cloud	SPARROWS	NA	1
UPS	UPS AIRLINES	DC-8	FLT 127	Approach	4	4	3/6/1995 0:00:00	Night	KY	100	120	NA	Overcast	UNKNOWN BIRD - LARGE	NA	2-10
AAL	AMERICAN AIRLINES	MD-82	FLT 1304	Approach	4	2	5/10/1993 0:00:00	Night	WI	400	130	None	Some Cloud	SPARROWS	NA	1
BUS	BUSINESS	CITATION II	16" LONG AND 2" DEEP DENT ON LEADING EDGE OF L WING APPROX MIDWAY  OUT.	Climb	3	2	5/19/1995 0:00:00	Day	DE	30	110	None	Some Cloud	UNKNOWN BIRD - LARGE	2-10	1
UPS	UPS AIRLINES	B-727	MECHANICS FOUND RESIDUE FROM STRIKE ON RT WING.  PILOTS UNAWARE  OF STRIKE.	NA	4	3	10/3/1995 0:00:00	Night	KY	NA	NA	None	Some Cloud	UNKNOWN BIRD	NA	1
DAL	DELTA AIR LINES	MD-88	NO DAMAGE.	Landing Roll	4	2	10/22/1993 0:00:00	Night	LA	0	NA	None	No Cloud	UNKNOWN BIRD - MEDIUM	NA	2-10
USA	US AIRWAYS	DC-9-30	LGR BIRD (GOOSE CATEGORY) STRUCK WINDSHLD CAUSING F/O'S WIPER  BLADE TO BEND BACK FROM STOWED POSITION CAUSING AN AIR LEAK.   ARFF WAS STANDING BY. MINOR DAMAGE.  A/C TAXIED TO RAMP W/O  FURTHER INCIDENT.	Climb	4	2	10/22/1992 0:00:00	Night	PA	8200	250	Precautionary Landing	No Cloud	UNKNOWN BIRD - LARGE	NA	1
AAL	AMERICAN AIRLINES	FK-100	NO DAMAGE OR INJURIES. BIRD POSSIBLY A DUCK.	Climb	4	2	5/24/1994 0:00:00	Day	IL	1400	200	None	No Cloud	DUCKS	NA	1
PVT	PRIVATELY OWNED	PA-28	FLOCK FLEW LOW LEVEL ACROSS RY INTO PATH OF DEPARTING A/C.	Take-off run	1	1	4/23/1995 0:00:00	Day	CA	0	50	Aborted Take-off	No Cloud	SPARROWS	11-100	2-10
COM	COMAIR AIRLINES	CL-RJ100/200	TIME = 2155Z  2 BIRDS. NO DAMAGE. FLT 3722.	Take-off run	3	2	10/8/1993 0:00:00	Day	RI	0	100	NA	Some Cloud	GULLS	NA	2-10
NWA	NORTHWEST AIRLINES	B-727	NO DAMAGE. TIME = 1006LCL	Approach	4	3	10/8/1993 0:00:00	Day	MI	10	120	None	No Cloud	SPARROWS	NA	1
PVT	PRIVATELY OWNED	MOONEY-20B/C	NO DAMGAE	En Route	1	1	11/16/1993 0:00:00	Day	FL	2000	135	None	Some Cloud	VULTURES	NA	1
AAH*	ALOHA AIRLINES	B-737-200	NO DAMAGE FOUND	Take-off run	4	2	10/3/1992 0:00:00	Dawn	HI	0	NA	None	No Cloud	SPOTTED DOVE	NA	1
DAL	DELTA AIR LINES	B-767	FLT 407. HIT 7. NO DAMAGE.	Approach	4	2	10/29/1994 0:00:00	Day	FL	40	NA	None	Some Cloud	UNKNOWN BIRD - SMALL	NA	2-10
MRA	MARTINAIRE	C-208	AFTER LANDING ON RY28L, MRA827 STRUCK 2-3 DOVES WITH PROP AND  FUSELAGE. NO DAMAGE REPORTED.	Landing Roll	2	1	10/29/1994 0:00:00	Day	CA	0	80	None	Overcast	DOVES	NA	2-10
FFT	FRONTIER AIRLINES	B-737-200	NO DAMAGE NOTED BY MAINT. NOT FELT BY CREWS.	Approach	4	2	8/11/1995 0:00:00	Day	CO	NA	NA	None	No Cloud	UNKNOWN BIRD	NA	1
BUS	BUSINESS	C-152	 SCARED THE PILOT. 18" OF WING DAMAGED.	Climb	1	1	8/11/1995 0:00:00	Day	FL	1000	80	None	Some Cloud	UNKNOWN BIRD - LARGE	NA	1
EGF	AMERICAN EAGLE AIRLINES	ATR-72	NA	Landing Roll	3	2	8/11/1995 0:00:00	Day	MI	0	115	None	Overcast	KILLDEER	2-10	2-10
SDU	WESTAIR COMMUTER	EMB-120	I THINK WE HIT 2 BIRDS, 1 ON L WING & 1 ON LOWER BELLY.  RY  OPERATION WAS JUST SWITCHED FROM SOUTH TO NORTH & WE WERE FIRST  A/C TO LAND & STARTLED THEM.	Approach	3	2	12/8/1994 0:00:00	Night	DC	100	115	None	No Cloud	DUCKS, GEESE, SWANS	2-10	1
USA	US AIRWAYS	B-737-200	GULL HIT TOP PART OF CAPT'S WINDSHIELD, MTC INSPECTED, NO DAMAGE.	Landing Roll	4	2	10/24/1994 0:00:00	Day	NY	0	120	None	Some Cloud	GULLS	NA	1
USA	US AIRWAYS	B-737-300	L WING. TIME = 1817LOCAL.FLT 129	Approach	4	2	8/25/1992 0:00:00	Day	NC	500	140	None	Some Cloud	HAWKS	NA	1
USA	US AIRWAYS	B-737-300	NA	Climb	4	2	11/12/1994 0:00:00	Day	CT	20	130	None	No Cloud	MOURNING DOVE	2-10	1
UNK	UNKNOWN	UNKNOWN	TOWER BELIEVES AIRLINE INVOLVED MAY BE US AIR SHUTTLE, BUT THEY  SAY NO.  CHECKED WITH OTHER AIRLINES TO NO AVAIL.	Take-off run	NA	NA	6/28/1993 0:00:00	Dawn	LA	0	NA	None	No Cloud	ROCK PIGEON	NA	2-10
AAL	AMERICAN AIRLINES	DC-9-80	NA	Climb	4	2	11/9/1995 0:00:00	Dusk	IL	200	170	None	Some Cloud	UNKNOWN BIRD - SMALL	NA	1
AAL	AMERICAN AIRLINES	DC-10	UNKNOWN WHEN INCIDENT OCCURRED.  SMALL BIRD REMNANTS FOUND ON  NOSE STRUT & LANDING LIGHT BY MAINT. GRAY FEATHERS	NA	4	3	9/2/1993 0:00:00	NA	NA	NA	NA	None	NA	UNKNOWN BIRD - SMALL	NA	1
UAL	UNITED AIRLINES	B-737-500	CAPT SAW LRG BIRD ORBITING ABOVE RWY ABOUT 3/4 MI FROM DEPTR END. AT ROTATION HE SAW BIRD HADN'T MOVED, MADE EVASIVE MANEUVERS. HEARD A THUMP NOTIFIED TWR. FLT CONTD. NO DMG TO #3 SLAT.	Climb	4	2	3/2/1996 0:00:00	Day	CO	200	160	Other	NA	RED-TAILED HAWK	NA	1
DAL	DELTA AIR LINES	B-737-200	FLT 628 HAD A STRIKE ON 1 MI FINAL TO RY 16. MINOR FLAP DAMAGE  REPTD AFTER A/C LANDED.	Approach	4	2	10/8/1994 0:00:00	Day	UT	NA	NA	NA	NA	UNKNOWN BIRD	NA	1
COM	COMAIR AIRLINES	SAAB-340	HEIGHT ABOVE GRND LEVEL = 900 MSL  INCIDENT OCCURRED AT SUNDOWN.   PILOT REPTD. SEEING 10 BIRDS. AFTER VISUAL INSPECTION, PILOT  REPTD. LEFT STALL WARNING VANE MISSING FROM A/C DUE TO STRIKE.  PILOT SAID "AT LEAST 3 GEESE STRUCK THE A/C." BIRDS REPTD AS GEESE, ASSUME CAGO FROM DATE AND LOCATION.	Approach	3	2	2/4/1993 0:00:00	Night	MI	20	130	None	No Cloud	CANADA GOOSE	2-10	2-10
SWA	SOUTHWEST AIRLINES	B-737-200	NO DAMAGE	Landing Roll	4	2	8/24/1995 0:00:00	Day	MO	0	80	None	No Cloud	SPARROWS	NA	1
NWA	NORTHWEST AIRLINES	A-320	UNKNOWN WHICH PART OF A/C STRUCK BIRD OR IF DAMAGE. FLT259.	Take-off run	4	2	4/16/1993 0:00:00	Day	IL	0	135	None	Overcast	BONAPARTES GULL	NA	1
OXO	MILLION AIR	CITATION II	NO DAMAGE.	Landing Roll	3	2	10/17/1994 0:00:00	Day	VA	0	NA	None	NA	UNKNOWN BIRD - SMALL	2-10	2-10
BUS	BUSINESS	C-172	DENT IN LEADING EDGE OF LEFT WING. LOSS OF REVENUE $500.	Climb	1	1	1/6/1994 0:00:00	Day	AZ	20	60	NA	No Cloud	UNKNOWN BIRD - MEDIUM	NA	1
ABX	ABX AIR (was AIRBORNE EXPRESS)	DC-9	NOT A STRIKE, A/C EXECUTED A GO AROUND DUE TO A DEER ON RY.	Approach	4	2	11/23/1993 0:00:00	Day	RI	NA	NA	Other	NA	WHITE-TAILED DEER	NA	NA
AAL	AMERICAN AIRLINES	MD-80	NO DAMAGE	Approach	4	2	5/6/1993 0:00:00	Night	PA	3000	200	None	No Cloud	UNKNOWN BIRD - MEDIUM	NA	1
TWA	TRANS WORLD AIRLINES	DC-9	ON DEPT. ROTATION A/C HIT A FOX. FLT CONTD TO CMH. RY WAS CLOSED  & INSPTD. NO DELAY TO TRAFFIC. UNKN IF ANY DAMAGE.	Take-off run	4	2	9/13/1994 0:00:00	Night	MO	0	NA	None	NA	FOXES	NA	1
AAL	AMERICAN AIRLINES	FK-100	DAMAGE, IF ANY, UNKN.	Take-off run	4	2	7/25/1994 0:00:00	Day	KY	0	NA	NA	NA	UNKNOWN BIRD - SMALL	2-10	2-10
AAL	AMERICAN AIRLINES	MD-80	FLT 2003. POSSIBLE BIRD STRIKE ON T/O. CONTD TO KLBB. TIME =  0303Z.	Take-off run	4	2	10/2/1993 0:00:00	Night	TX	0	NA	NA	NA	UNKNOWN BIRD	NA	1
COA	CONTINENTAL AIRLINES	ATR-42	NO DAMAGE TO A/C. FLT 2664	Landing Roll	3	2	10/4/1992 0:00:00	Day	LA	0	NA	None	Some Cloud	HAWKS	NA	1
BUS	BUSINESS	LEARJET-55	OTHER STRUCK = FLAPS	Approach	3	2	8/28/1995 0:00:00	Day	ND	2	128	None	Some Cloud	SWALLOWS	NA	11-100
DAL	DELTA AIR LINES	MD-88	BIRD LESS THAN 6" LONG. FLT700	Take-off run	4	2	8/3/1995 0:00:00	Day	FL	0	140	None	Overcast	MERLIN	NA	1
COM	COMAIR AIRLINES	SA227 AC METRO III	BIRD INGSTD, ENG SHUT DOWN AS PRECAUTIONARY MEASURE. PAX WERE  DEPLANED, FIRE TRUCK STOOD BY UNTIL #2 ENG STOPPED SMOKING. MAINT  INSPCTD & RAN #2 ENG, IT WAS W/IN TOLERANCES.  ON FERRY FLT FROM  GNV TO MCO, ENG RAN FINE.  NO WARNINGS/ADVISORIES RE BIRDS WERE  RECVD. BIRDS SEEM TO BE MORE ACTIVE /PRESENT IN GRASS AROUND RYS  AND TXYS AFTER RAIN (POSSIBLY LOOKING FOR INSECTS?)  THERE WAS  LOSS OF REVENUE, BUT AMT NOT REPTD.ENG NOT REPLACED. IMPELLER PARTS DAMAGED, DEBRIS REMOVED & DMG TO WING FUSELAGE FAIRING.  (PERS COMM WITH AIRLINE)	Landing Roll	2	2	8/22/1994 0:00:00	Day	FL	0	90	Engine Shut Down	Some Cloud	UNKNOWN BIRD - MEDIUM	NA	1
PVT	PRIVATELY OWNED	BE-300 KING	A/C LANDED AT CHARLESTON ARPT & REPTD STRIKING A DEER ON T/O FROM  WHEELING ARPT. NO DAMAGE REPTD & NO INJURIES TO 8 PAX WHICH  INCLUDED THE GOVERNOR OF WV.  NO ASSISTANCE REQD, A/C TAXIED TO  RAMP W/O INCIDENT.	Take-off run	1	2	11/3/1994 0:00:00	Night	WV	0	NA	None	NA	WHITE-TAILED DEER	NA	1
FLG	PINNACLE (FORMERLY EXPSAIRL 1)	SAAB-340	3 SWALLOWS FOUND ON RWY	Landing Roll	3	2	8/27/1992 0:00:00	Day	MN	0	80	None	Some Cloud	SWALLOWS	NA	2-10
PVT	PRIVATELY OWNED	C-177	LARGE DENT IN L WING	Approach	1	1	1/29/1995 0:00:00	Dawn	TX	2000	130	None	Overcast	UNKNOWN BIRD - LARGE	NA	1
GOV	GOVERNMENT	BE-200 KING	ATIS WARNING. NO DAMAGE.	Landing Roll	2	2	7/13/1993 0:00:00	Day	IL	0	80	None	Overcast	SPARROWS	NA	1
AAL	AMERICAN AIRLINES	B-727-200	FLT 643. BIRD HIT PROBABLY DURING APPROACH.  IMPACT MADE A SMALL  DENT IN THE WING LE.  NEXT FLT DELAYED.  ALT. 0-5000'.	Approach	4	3	6/19/1993 0:00:00	Day	IL	NA	NA	Other	Some Cloud	UNKNOWN BIRD - MEDIUM	NA	1
ASA	ALASKA AIRLINES	B-737	HAZY. FLT 437.	Landing Roll	4	2	12/21/1994 0:00:00	Day	CA	0	150	None	No Cloud	UNKNOWN BIRD - MEDIUM	NA	2-10
PDT	PIEDMONT AIRLINES	DHC8 DASH 8	TWO BIRDS STRUCK AT 3500' @ 170 K, ONE BIRD STRUCK AT 800' @ 120 K. MTC WILL CHECK A/C. NO APPARENT  DAMAGE.	Approach	3	2	10/2/1994 0:00:00	Night	VA	NA	NA	None	Overcast	UNKNOWN BIRD - MEDIUM	2-10	2-10
COM	COMAIR AIRLINES	EMB-120	SPARROWS OR STARLINGS. WARNINGS ONLY IN AIRFIELD DIRECTORY.	Landing Roll	3	2	8/11/1995 0:00:00	Day	FL	0	100	None	Some Cloud	UNKNOWN BIRD - SMALL	2-10	1
AAL	AMERICAN AIRLINES	A-300	NA	Approach	4	2	5/14/1995 0:00:00	Night	CT	1500	145	None	No Cloud	UNKNOWN BIRD - SMALL	NA	2-10
USA	US AIRWAYS	B-737-300	NO DAMAGE, JUST SMELL OF FRIED BIRD.	Approach	4	2	7/14/1994 0:00:00	Day	NY	200	200	Other	Overcast	GULLS	NA	1
PVT	PRIVATELY OWNED	C-152	NA	Climb	1	1	12/12/1994 0:00:00	Day	CA	300	70	None	Overcast	UNKNOWN BIRD - MEDIUM	NA	1
ABX	ABX AIR (was AIRBORNE EXPRESS)	DC-8	NA	En Route	4	4	9/13/1994 0:00:00	Night	OH	12000	NA	None	NA	UNKNOWN BIRD - MEDIUM	NA	1
BUS	BUSINESS	BE-58  BARON	A/C STRUCK AT LEAST 2 BIRDS. PILOT SIDE WINDOW & WINDSCREEN  DAMAGED.	Descent	2	2	12/5/1994 0:00:00	Night	NC	1000	130	None	No Cloud	UNKNOWN BIRD - MEDIUM	NA	2-10
BUS	BUSINESS	BE-77  SKIPPER	NO DAMAGE. SMALL DARK BIRD, SPARROW TYPE	Approach	1	1	7/16/1994 0:00:00	Day	VA	NA	NA	None	Some Cloud	UNKNOWN BIRD - SMALL	NA	1
USA	US AIRWAYS	B-737-400	COMPRESSOR BLADE ON #2 ENGINE WAS STRUCK. DAMAGE TO #2 ENG.  (DATA ENTRY NOTE: GE REPTS NO DAMAGE TO ENG.)	Approach	4	2	7/18/1994 0:00:00	Dusk	CA	1100	150	None	Some Cloud	UNKNOWN BIRD - SMALL	2-10	1
BLR	ATLANTIC COAST AIRLINES	BA-31 JETSTR	FLT 6155. SAW BIRD AT 200' FINAL. IT WENT STRAIGHT DOWN THE #2  INTAKE. REMAINS FOUND ON LIP AND DOWN INTAKE. ALSO SOME OF RT  SIDE OF FUSELAGE. NO EFFECT ON ENG OPERATION.  LANDED NORMALLY.  INITIALLY FOUND REMAINS COATED ON ALL NOZZLES. NO INJURIES. NEXT  FLT CANCELLED.	Approach	2	2	4/9/1996 0:00:00	Day	NY	200	130	Other	No Cloud	UNKNOWN BIRD - MEDIUM	NA	1
DAL	DELTA AIR LINES	L-1011-500	FLT 1579	Approach	4	3	1/28/1995 0:00:00	Night	HI	NA	NA	None	NA	UNKNOWN BIRD - MEDIUM	NA	1
SWA	SOUTHWEST AIRLINES	B-737-500	BLOOD SMEAR ON CAPTAIN'S WINDSHIELD	Approach	4	2	5/25/1994 0:00:00	Night	TX	NA	140	None	Overcast	UNKNOWN BIRD	NA	1
ASH	MESA AIRLINES	BE-1900	MINOR DAMAGE. DENT IN RT WINGTIP & DE-ICE BOOT. ARFF RESPONDED &  A/C TAXIED TO RAMP.  FLT 5523.	Climb	3	2	4/16/1995 0:00:00	Day	PA	1800	220	Precautionary Landing	No Cloud	BLACKBIRDS	NA	1
AAL	AMERICAN AIRLINES	MD-80	SUSPECT BIRD STRIKE ON CLIMBOUT, NO DAMAGE SEEN ON POSTFLT.	Climb	4	2	10/27/1992 0:00:00	Night	TX	5000	250	None	No Cloud	UNKNOWN BIRD - MEDIUM	NA	1
USA	US AIRWAYS	SHORTS 360	NO DAMAGE	Take-off run	3	2	9/27/1994 0:00:00	Day	PA	0	NA	Aborted Take-off	Some Cloud	ROCK PIGEON	NA	1
AAL	AMERICAN AIRLINES	MD-80	FLT 1136. FINAL APPCH.	Approach	4	2	6/19/1993 0:00:00	Dusk	IL	150	170	None	Overcast	UNKNOWN BIRD - MEDIUM	NA	1
SWA	SOUTHWEST AIRLINES	B-737-300	NO DAMAGE/INJURY	Take-off run	4	2	8/10/1996 0:00:00	Day	MO	0	150	NA	No Cloud	EUROPEAN STARLING	NA	1
SKW	SKYWEST AIRLINES	EMB-120	NA	Landing Roll	3	2	5/11/1993 0:00:00	Day	CA	0	80	None	Overcast	SPARROWS	NA	1
AAL	AMERICAN AIRLINES	MD-80	NA	Approach	4	2	8/21/1994 0:00:00	Day	TX	6000	210	None	No Cloud	SPARROWS	2-10	1
