name	team	position	G	AB	R	H	2B	3B	HR	RBI	TB	BB	SO	SB	CS	OBP	SLG	AVG
R Dickey	NYM	P	25	51	7	13	2	0	0	5	15	3	8	0	0	0.296	0.294	0.255
K Kendrick	PHI	P	31	51	2	5	2	0	0	0	7	2	16	0	0	0.132	0.137	0.098
B Zito	SF	P	32	51	1	6	0	0	0	2	6	1	17	0	0	0.135	0.118	0.118
E Nunez	NYY	3B	30	50	12	14	1	0	1	7	18	3	2	5	0	0.321	0.36	0.28
J Fields	KC	3B	13	49	5	15	0	0	3	6	24	1	9	0	0	0.32	0.49	0.306
C Narveson	MIL	P	36	49	3	16	1	0	0	7	17	2	15	0	0	0.365	0.347	0.327
K Russo	NYY	3B	31	49	5	9	2	0	0	4	11	3	9	1	0	0.245	0.224	0.184
S Tolleson	OAK	SS	25	49	5	14	3	0	1	4	20	4	9	0	0	0.34	0.408	0.286
Z Duke	PIT	P	32	48	5	3	2	0	0	0	5	2	17	0	0	0.1	0.104	0.063
L Durango	SD	OF	28	48	8	12	0	0	0	4	12	4	7	5	0	0.308	0.25	0.25
A Hernandez	HOU	2B	32	48	7	9	2	0	0	1	11	8	10	2	0	0.304	0.229	0.188
M Leake	CIN	P	27	48	5	16	1	0	0	3	17	5	15	0	0	0.407	0.354	0.333
R Hughes	BAL	1B	14	47	3	10	2	0	0	4	12	4	19	0	0	0.275	0.255	0.213
R Nolasco	FLA	P	23	47	3	8	3	0	0	3	11	2	16	0	0	0.204	0.234	0.17
J Towles	HOU	C	17	47	3	9	3	0	1	8	15	2	12	0	0	0.235	0.319	0.191
C Guzman	TEX	2B	15	46	4	7	1	0	0	1	8	3	10	0	0	0.204	0.174	0.152
B Allen	ARI	OF	22	45	5	12	3	0	1	6	18	10	20	0	0	0.393	0.4	0.267
K Correia	SD	P	27	44	4	6	1	0	0	5	7	2	20	0	0	0.174	0.159	0.136
L Hernandez	NYM	2B	17	44	4	11	1	0	2	6	18	2	7	1	0	0.298	0.409	0.25
J Lannan	WSH	P	24	44	1	4	2	0	0	4	6	4	22	0	0	0.167	0.136	0.091
W LeBlanc	SD	P	25	44	2	13	0	0	0	1	13	1	12	0	0	0.311	0.295	0.295
D Murphy	FLA	SS	29	44	9	14	6	1	3	16	31	2	19	0	0	0.348	0.705	0.318
B Norris	HOU	P	27	44	2	7	2	0	0	2	9	2	13	0	0	0.196	0.205	0.159
O Martinez	FLA	SS	14	43	8	14	4	1	0	2	20	4	6	1	0	0.383	0.465	0.326
T Buck	OAK	OF	14	42	6	7	2	0	1	2	12	4	14	1	0	0.255	0.286	0.167
R Mitchell	LAD	3B	15	42	3	6	0	0	2	4	12	0	8	0	0	0.14	0.286	0.143
Y Navarro	BOS	SS	20	42	4	6	0	0	0	5	6	2	17	0	0	0.174	0.143	0.143
C Ransom	PHI	3B	22	42	6	8	0	0	2	5	14	3	11	1	0	0.244	0.333	0.19
E Alfonzo	SEA	C	13	41	4	9	1	0	1	4	13	0	10	0	0	0.22	0.317	0.22
J De La Rosa	COL	P	20	41	3	7	2	0	0	4	9	0	15	0	0	0.171	0.22	0.171
T Plouffe	MIN	SS	22	41	7	6	1	0	2	6	13	0	14	0	0	0.143	0.317	0.146
J Chacin	COL	P	26	40	0	3	0	0	0	1	3	1	9	0	0	0.098	0.075	0.075
A Cook	COL	P	25	40	5	6	2	0	0	1	8	0	17	0	0	0.15	0.2	0.15
T Gorzelanny	CHC	P	28	40	1	5	0	0	0	2	5	0	18	0	0	0.125	0.125	0.125
R Ruiz	TOR	DH	13	40	3	6	2	0	1	1	11	0	11	1	0	0.15	0.275	0.15
M Bumgarner	SF	P	20	39	2	7	1	0	0	3	8	2	11	0	0	0.22	0.205	0.179
B Hawpe	TB	DH	15	39	7	7	0	0	2	7	13	6	17	0	0	0.304	0.333	0.179
J Jurrjens	ATL	P	20	39	2	5	1	0	0	2	6	2	14	0	0	0.19	0.154	0.128
M Pagnozzi	STL	C	15	39	4	14	2	0	1	10	19	2	8	0	0	0.405	0.487	0.359
M Ryan	LAA	OF	22	39	3	8	4	0	0	2	12	1	5	0	0	0.22	0.308	0.205
D Sardinha	PHI	C	13	39	5	8	2	0	3	8	19	1	13	0	0	0.225	0.487	0.205
E Jackson	ARI	P	20	38	5	6	0	0	1	3	9	2	22	0	0	0.2	0.237	0.158
M Lamb	FLA	1B	39	38	2	7	1	1	0	4	10	2	6	0	0	0.225	0.263	0.184
M Mangini	SEA	3B	11	38	2	8	0	0	0	1	8	2	13	0	0	0.25	0.211	0.211
C Stammen	WSH	P	36	38	2	9	3	0	0	6	12	1	15	0	0	0.25	0.316	0.237
C Valaika	CIN	2B	19	38	3	10	1	0	1	2	14	1	9	0	0	0.282	0.368	0.263
M Carp	SEA	1B	14	37	1	7	2	0	0	0	9	4	8	0	0	0.268	0.243	0.189
S Cousins	FLA	OF	27	37	2	11	2	2	0	2	17	1	13	0	0	0.316	0.459	0.297
A Harang	CIN	P	21	37	1	5	1	0	0	2	6	0	13	0	0	0.135	0.162	0.135
L May	KC	C	12	37	3	7	1	0	0	6	8	0	10	0	1	0.205	0.216	0.189
T Wood	CIN	P	17	37	1	7	2	1	1	3	14	0	15	0	0	0.189	0.378	0.189
N Evans	NYM	OF	20	36	5	11	3	0	1	5	17	1	10	0	0	0.324	0.472	0.306
J Morales	MIN	C	19	36	4	7	2	0	0	7	9	6	14	0	0	0.295	0.25	0.194
D Sutton	CLE	SS	11	36	4	8	1	0	1	4	12	3	12	0	0	0.282	0.333	0.222
L Anderson	BOS	1B	18	35	4	7	1	0	0	4	8	7	8	0	0	0.326	0.229	0.2
J Arencibia	TOR	C	11	35	3	5	1	0	2	4	12	2	11	0	0	0.189	0.343	0.143
K Lohse	STL	P	21	35	2	6	2	0	0	3	8	0	8	0	0	0.171	0.229	0.171
J Payton	COL	OF	20	35	3	12	4	1	0	1	18	1	4	1	0	0.361	0.514	0.343
W Taveras	WSH	OF	27	35	7	7	0	1	0	4	9	2	6	1	2	0.243	0.257	0.2
L Zawadzki	SD	2B	20	35	4	7	2	0	0	1	9	5	7	1	0	0.3	0.257	0.2
D Descalso	STL	3B	11	34	6	9	2	0	0	4	11	2	6	1	0	0.324	0.324	0.265
J Hoffpauir	TOR	3B	13	34	1	7	1	0	0	0	8	2	5	0	0	0.25	0.235	0.206
E Kratz	PIT	C	9	34	2	4	0	0	0	1	4	2	9	0	0	0.167	0.118	0.118
M Parra	MIL	P	40	34	2	6	2	0	0	1	8	3	14	0	0	0.263	0.235	0.176
H Bailey	CIN	P	18	33	1	7	0	0	0	2	7	2	15	0	0	0.257	0.212	0.212
A Diaz	PIT	SS	22	33	0	8	1	0	0	2	9	3	10	0	1	0.306	0.273	0.242
B Enright	ARI	P	18	33	1	8	1	0	0	6	9	0	9	0	0	0.235	0.273	0.242
R Garko	TEX	1B	15	33	0	3	0	0	0	3	3	3	4	0	0	0.167	0.091	0.091
C Gentry	TEX	OF	20	33	4	7	0	0	0	3	7	1	11	1	0	0.229	0.212	0.212
J Karstens	PIT	P	24	33	0	2	0	0	0	0	2	1	16	0	0	0.088	0.061	0.061
R Quinlan	LAA	1B	23	33	4	4	2	0	0	2	6	2	6	2	0	0.171	0.182	0.121
B Anderson	STL	C	15	32	1	9	2	0	0	4	11	1	7	0	0	0.314	0.344	0.281
E Byrnes	SEA	OF	15	32	1	3	2	0	0	0	5	6	9	1	0	0.237	0.156	0.094
J Donaldson	OAK	C	14	32	1	5	1	0	1	4	9	2	12	0	0	0.206	0.281	0.156
A Iwamura	OAK	3B	10	31	3	4	1	0	0	4	5	5	10	0	0	0.25	0.161	0.129
C Silva	CHC	P	19	31	0	2	1	0	0	2	3	3	12	0	0	0.147	0.097	0.065
J Arias	NYM	2B	22	30	5	6	1	0	0	4	7	2	6	0	0	0.25	0.233	0.2
A De Aza	CWS	OF	19	30	7	9	3	0	0	2	12	1	4	2	1	0.323	0.4	0.3
M Watson	OAK	OF	12	30	2	6	2	0	1	4	11	3	5	0	0	0.273	0.367	0.2
Y Alonso	CIN	1B	22	29	2	6	2	0	0	3	8	0	10	0	0	0.207	0.276	0.207
H Conger	LAA	C	13	29	2	5	1	1	0	5	8	5	9	0	0	0.294	0.276	0.172
G Halman	SEA	OF	9	29	1	4	1	0	0	3	5	1	11	1	0	0.167	0.172	0.138
H Luna	FLA	3B	27	29	2	4	1	0	2	4	11	0	13	0	1	0.133	0.379	0.138
S Pearce	PIT	1B	15	29	4	8	2	1	0	5	12	7	6	0	0	0.395	0.414	0.276
B Barden	FLA	3B	35	28	2	5	0	0	0	3	5	3	12	0	2	0.281	0.179	0.179
B Bogusevic	HOU	OF	19	28	5	5	3	0	0	3	8	3	12	1	1	0.258	0.286	0.179
S Fuld	CHC	OF	19	28	3	4	1	0	0	3	5	3	5	0	0	0.226	0.179	0.143
B Revere	MIN	OF	13	28	1	5	0	0	0	2	5	2	5	0	1	0.233	0.179	0.179
J Ely	LAD	P	17	27	1	2	0	0	0	1	2	1	13	0	0	0.107	0.074	0.074
D Hudson	ARI	P	11	27	1	4	2	0	0	6	6	0	7	0	0	0.179	0.222	0.148
K Medlen	ATL	P	31	27	2	5	1	0	0	2	6	3	14	0	0	0.29	0.222	0.185
K Mench	WSH	OF	27	27	2	3	0	0	0	1	3	2	6	0	0	0.172	0.111	0.111
W Ramos	MIN	C	7	27	2	8	3	0	0	1	11	0	3	0	0	0.321	0.407	0.296
B Snyder	CHC	OF	12	27	1	5	1	0	0	5	6	1	12	0	0	0.214	0.222	0.185
J Happ	HOU	P	16	26	0	0	0	0	0	0	0	1	9	0	0	0.037	0	0
C Morton	PIT	P	17	26	0	1	0	0	0	0	1	0	18	0	0	0.038	0.038	0.038
B Moss	PIT	OF	17	26	2	4	1	0	0	2	5	1	6	0	0	0.185	0.192	0.154
J Moyer	PHI	P	16	26	1	2	0	0	0	1	2	3	13	0	0	0.172	0.077	0.077
R Ohlendorf	PIT	P	18	26	0	2	0	0	0	0	2	2	16	0	0	0.143	0.077	0.077
V Padilla	LAD	P	15	26	5	4	1	0	0	2	5	2	12	0	0	0.241	0.192	0.154
N Robertson	PHI	P	19	26	2	5	1	0	0	1	6	2	6	0	0	0.25	0.231	0.192
J Suppan	STL	P	28	26	1	5	1	0	0	1	6	1	6	0	0	0.222	0.231	0.192
L Atilano	WSH	P	13	25	0	1	0	0	0	0	1	0	10	0	0	0.04	0.04	0.04
B Burres	PIT	P	20	25	0	3	0	1	0	3	5	0	14	0	0	0.12	0.2	0.12
F Catalanotto	NYM	OF	25	25	2	4	1	0	0	1	5	1	5	0	0	0.192	0.2	0.16
C Nelson	COL	3B	17	25	7	7	1	0	0	0	8	1	4	1	0	0.308	0.32	0.28
J Westbrook	STL	P	12	25	1	3	1	0	0	1	4	1	11	0	0	0.154	0.16	0.12
R Baldelli	TB	OF	10	24	3	5	1	0	1	5	9	1	5	1	0	0.24	0.375	0.208
B Eldred	COL	1B	11	24	4	6	1	0	1	3	10	2	10	0	0	0.333	0.417	0.25
F Freeman	ATL	1B	20	24	3	4	1	0	1	1	8	0	8	0	0	0.167	0.333	0.167
M Jacobs	NYM	1B	7	24	1	5	1	0	1	2	9	3	7	0	0	0.296	0.375	0.208
K Kawakami	ATL	P	18	24	2	3	1	0	0	1	4	3	9	0	0	0.222	0.167	0.125
S Olsen	WSH	P	17	24	0	2	0	0	0	0	2	0	12	0	0	0.083	0.083	0.083
F Paulino	HOU	P	18	24	1	7	1	0	0	0	8	1	8	0	0	0.346	0.333	0.292
B Petersen	FLA	OF	23	24	1	2	0	0	0	2	2	1	6	0	0	0.12	0.083	0.083
J Saltalamacchia	BOS	C	12	24	2	4	3	0	0	2	7	6	5	0	0	0.333	0.292	0.167
J Frazier	DET	OF	9	23	3	5	1	0	0	1	6	1	6	0	0	0.25	0.261	0.217
G Golson	NYY	OF	24	23	3	6	2	0	0	2	8	0	3	0	2	0.261	0.348	0.261
C Hu	LAD	SS	14	23	2	3	1	0	0	1	4	0	5	1	0	0.16	0.174	0.13
T Oeltjen	LAD	OF	14	23	5	5	1	1	0	1	8	4	8	0	0	0.357	0.348	0.217
P Phillips	COL	C	12	23	4	5	0	0	0	1	5	2	7	0	0	0.28	0.217	0.217
A Presley	PIT	OF	19	23	2	6	1	0	0	0	7	1	8	1	1	0.292	0.304	0.261
J Saunders	ARI	P	13	23	0	2	0	0	0	1	2	1	8	1	0	0.125	0.087	0.087
J Francis	COL	P	18	22	2	2	0	0	0	1	2	4	6	0	0	0.222	0.091	0.091
P Hoover	PHI	C	9	22	6	5	2	0	0	2	7	3	5	0	0	0.32	0.318	0.227
J Marquis	WSH	P	17	22	1	3	1	0	0	2	4	0	2	0	0	0.136	0.182	0.136
P McAnulty	LAA	1B	9	22	2	3	0	0	1	2	6	2	11	0	0	0.208	0.273	0.136
A Sanabia	FLA	P	14	22	0	1	0	0	0	0	1	0	11	0	0	0.087	0.045	0.045
D Jennings	TB	OF	17	21	5	4	1	1	0	2	7	2	4	2	2	0.292	0.333	0.19
J McDonald	PIT	P	15	21	2	1	1	0	0	0	2	1	12	0	0	0.091	0.095	0.048
J Reed	CWS	-	14	21	1	3	0	0	1	3	6	2	8	1	0	0.217	0.286	0.143
W Castillo	CHC	C	7	20	3	6	4	0	1	5	13	1	7	0	0	0.333	0.65	0.3
C Coleman	CHC	P	12	20	2	2	1	0	0	2	3	1	11	0	0	0.143	0.15	0.1
O Navarro	HOU	SS	14	20	2	1	0	0	0	0	1	5	4	0	0	0.24	0.05	0.05
B Snyder	BAL	1B	10	20	1	6	2	0	0	3	8	0	3	0	1	0.3	0.4	0.3
S Strasburg	WSH	P	11	20	0	1	0	0	0	1	1	0	7	0	0	0.05	0.05	0.05
T Wellemeyer	SF	P	13	20	2	2	0	0	0	0	2	0	11	0	0	0.1	0.1	0.1
B Penny	STL	P	9	19	1	3	0	0	1	4	6	0	6	0	0	0.158	0.316	0.158
J Van Every	BOS	OF	21	19	6	4	1	0	1	1	8	2	9	0	0	0.286	0.421	0.211
C Woodward	SEA	SS	8	19	0	3	1	0	0	0	4	3	9	0	0	0.273	0.211	0.158
C Capuano	MIL	P	24	18	0	1	0	0	0	0	1	0	9	0	0	0.056	0.056	0.056
C Huffman	NYY	OF	9	18	1	3	0	0	0	2	3	2	5	0	0	0.286	0.167	0.167
F Martinez	NYM	OF	7	18	1	3	0	0	0	2	3	1	5	0	1	0.273	0.167	0.167
E Rogers	COL	P	31	18	2	3	2	0	0	1	5	0	7	0	0	0.167	0.278	0.167
W Bloomquist	CIN	OF	11	17	0	5	0	0	0	0	5	1	3	0	0	0.333	0.294	0.294
L Cruz	MIL	SS	7	17	2	4	0	1	0	1	6	0	2	0	0	0.235	0.353	0.235
N Figueroa	HOU	P	30	17	1	4	1	0	0	0	5	0	3	0	0	0.235	0.294	0.235
T Stauffer	SD	P	32	17	2	3	2	0	0	2	5	2	12	0	0	0.263	0.294	0.176
E Volquez	CIN	P	12	17	1	2	0	0	0	0	2	1	7	0	0	0.167	0.118	0.118
B Hawksworth	STL	P	44	16	0	0	0	0	0	0	0	0	9	0	0	0	0	0
H Takahashi	NYM	P	51	16	0	1	0	0	0	0	1	0	3	0	0	0.063	0.063	0.063
M Gamel	MIL	3B	12	15	1	3	1	0	0	1	4	1	8	0	0	0.294	0.267	0.2
B Lincoln	PIT	P	10	15	0	6	0	0	0	3	6	0	3	0	0	0.4	0.4	0.4
F Lopez	BOS	2B	4	15	2	4	0	0	1	1	7	1	4	0	0	0.313	0.467	0.267
D Lucy	CWS	C	7	15	2	5	3	0	1	2	11	2	3	1	0	0.444	0.733	0.333
R Rohlinger	SF	SS	12	15	1	3	0	0	0	1	3	2	5	0	0	0.294	0.2	0.2
M Trumbo	LAA	1B	8	15	2	1	0	0	0	2	1	1	8	0	0	0.125	0.067	0.067
L Carlin	CLE	C	6	14	4	5	0	0	2	3	11	2	5	0	0	0.438	0.786	0.357
M Hamilton	STL	1B	9	14	0	2	0	0	0	0	2	1	5	0	0	0.2	0.143	0.143
D McCutchen	PIT	P	27	14	1	1	0	0	0	0	1	0	5	1	0	0.133	0.071	0.071
C Moeller	NYY	C	9	14	2	3	3	0	0	0	6	1	4	0	0	0.267	0.429	0.214
C Monasterios	LAD	P	31	14	1	1	0	0	0	0	1	0	7	0	0	0.071	0.071	0.071
M Owings	CIN	P	25	14	2	3	0	0	1	3	6	0	6	0	0	0.214	0.429	0.214
M Rivera	FLA	C	7	14	0	0	0	0	0	0	0	2	3	0	0	0.176	0	0
C Aldridge	LAA	OF	5	13	0	1	0	1	0	1	3	0	5	0	0	0.077	0.231	0.077
D Davis	MIL	P	8	13	0	0	0	0	0	1	0	0	5	0	0	0	0	0
E German	TEX	2B	13	13	5	3	0	0	0	1	3	3	2	4	1	0.375	0.231	0.231
N Green	TOR	SS	9	13	2	2	0	0	0	1	2	1	3	0	0	0.214	0.154	0.154
B Scales	CHC	3B	10	13	4	4	0	0	0	2	4	7	5	1	0	0.55	0.308	0.308
G Smith	COL	P	10	13	2	4	2	0	0	2	6	0	1	0	0	0.308	0.462	0.308
D Brown	BOS	C	7	12	0	3	1	0	0	2	4	0	2	0	0	0.25	0.333	0.25
D Gee	NYM	P	5	12	0	2	1	0	0	1	3	0	8	0	0	0.167	0.25	0.167
J Lindsey	LAD	1B	11	12	0	1	0	0	0	0	1	0	3	0	0	0.154	0.083	0.083
J Martin	WSH	P	8	12	0	2	1	0	0	0	3	0	4	0	0	0.167	0.25	0.167
J Mayberry	PHI	OF	11	12	4	4	0	0	2	6	10	1	4	0	1	0.385	0.833	0.333
T Flowers	CWS	C	8	11	2	1	0	0	0	0	1	4	5	0	0	0.333	0.091	0.091
S LeCure	CIN	P	14	11	2	1	1	0	0	0	2	0	2	0	0	0.091	0.182	0.091
C Maldonado	WSH	C	4	11	1	3	0	0	1	3	6	1	2	0	0	0.333	0.545	0.273
A Romine	LAA	SS	5	11	0	1	0	0	0	0	1	0	4	0	0	0.091	0.091	0.091
R Budde	LAA	C	6	10	2	4	1	0	1	3	8	1	5	0	0	0.455	0.8	0.4
J Maine	NYM	P	10	10	0	0	0	0	0	0	0	0	6	0	0	0	0	0
M Minor	ATL	P	9	10	0	0	0	0	0	0	0	1	7	0	0	0.091	0	0
B Moehler	HOU	P	18	10	0	1	0	0	0	0	1	0	3	0	0	0.1	0.1	0.1
M Nickeas	NYM	C	5	10	0	2	0	0	0	0	2	0	5	0	0	0.2	0.2	0.2
J Raynor	PIT	OF	11	10	1	2	0	0	0	0	2	1	3	0	0	0.273	0.2	0.2
R Valdes	NYM	P	36	10	1	4	1	0	0	1	5	0	3	0	0	0.4	0.5	0.4
J Weaver	LAA	P	3	10	1	2	0	0	0	0	2	0	3	0	0	0.2	0.2	0.2
J Zimmermann	WSH	P	7	10	0	2	0	0	0	0	2	0	2	0	0	0.2	0.2	0.2
D Hernandez	ATL	SS	20	9	5	1	0	0	1	1	4	0	4	0	0	0.111	0.444	0.111
A Miller	FLA	P	9	9	0	0	0	0	0	0	0	0	3	0	0	0	0	0
O Perez	NYM	P	17	9	0	1	0	0	0	1	1	1	4	0	0	0.2	0.111	0.111
M St. Pierre	DET	C	6	9	1	2	1	0	0	0	3	0	2	0	0	0.222	0.333	0.222
J Turner	BAL	2B	5	9	0	0	0	0	0	0	0	0	3	0	0	0	0	0
M Batista	WSH	P	54	8	0	1	0	0	0	0	1	0	5	0	0	0.125	0.125	0.125
M Baxter	SD	1B	9	8	0	1	0	0	0	1	1	0	2	0	0	0.111	0.125	0.125
N Green	SD	-	5	8	0	1	0	0	0	1	1	0	2	0	0	0.222	0.125	0.125
M McKenry	COL	C	6	8	0	0	0	0	0	0	0	1	5	0	0	0.111	0	0
P Misch	NYM	P	12	8	0	1	0	0	0	0	1	0	4	0	0	0.125	0.125	0.125
K Schmidt	ARI	C	4	8	0	1	0	0	0	0	1	1	0	0	0	0.222	0.125	0.125
A Stern	MIL	OF	6	8	0	0	0	0	0	1	0	0	2	0	0	0	0	0
J Turner	NYM	2B	4	8	1	1	1	0	0	0	2	1	0	0	0	0.222	0.25	0.125
W Wright	HOU	P	11	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0
B Boggs	TEX	OF	4	7	0	0	0	0	0	0	0	1	4	0	0	0.125	0	0
A Cora	TEX	2B	4	7	0	2	0	0	0	0	2	0	0	0	0	0.286	0.286	0.286
R Detwiler	WSH	P	8	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0
T Diamond	CHC	P	16	7	1	0	0	0	0	0	0	1	6	0	0	0.125	0	0
S Gallagher	PIT	P	46	7	1	0	0	0	0	0	0	1	5	0	0	0.125	0	0
L Hughes	MIN	3B	2	7	1	2	0	0	1	1	5	0	3	0	1	0.286	0.714	0.286
C Lewis	TEX	P	2	7	1	2	0	0	0	2	2	0	2	0	0	0.286	0.286	0.286
Y Maya	WSH	P	5	7	0	1	0	0	0	0	1	0	4	0	0	0.143	0.143	0.143
A Mendez	FLA	P	5	7	0	2	0	0	0	0	2	0	1	0	0	0.286	0.286	0.286
G Molina	BOS	C	4	7	1	1	0	0	0	0	1	0	2	0	0	0.143	0.143	0.143
J Peavy	CWS	P	2	7	0	1	0	0	0	0	1	0	3	0	0	0.143	0.143	0.143
D Price	TB	P	4	7	0	1	0	0	0	0	1	0	5	0	0	0.143	0.143	0.143
G Quiroz	SEA	C	2	7	1	2	1	0	0	0	3	0	1	0	0	0.286	0.429	0.286
R Shealy	BOS	1B	5	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0
E Sogard	OAK	2B	4	7	0	3	0	0	0	0	3	2	1	0	1	0.556	0.429	0.429
P Walters	STL	P	7	7	0	0	0	0	0	0	0	1	5	0	0	0.125	0	0
D Carrasco	ARI	P	59	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0
P Ciriaco	PIT	SS	8	6	3	3	1	1	0	1	6	0	3	0	0	0.5	1	0.5
S Feldman	TEX	P	2	6	1	1	1	0	0	0	2	0	3	0	0	0.167	0.333	0.167
Z Greinke	KC	P	2	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C Haeger	LAD	P	8	6	0	0	0	0	0	1	0	1	5	0	0	0.125	0	0
C Hatcher	FLA	C	5	6	0	0	0	0	0	0	0	2	5	0	0	0.25	0	0
S Kazmir	LAA	P	3	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0
A Ottavino	STL	P	5	6	0	0	0	0	0	0	0	1	5	0	0	0.143	0	0
C Pavano	MIN	P	2	6	0	3	0	0	0	0	3	0	2	0	0	0.5	0.5	0.5
J Vargas	SEA	P	3	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0
B Bannister	KC	P	3	5	1	1	1	0	0	1	2	0	3	0	0	0.2	0.4	0.2
B Beachy	ATL	P	3	5	1	1	0	0	0	0	1	1	4	0	0	0.333	0.2	0.2
K Benson	ARI	P	3	5	0	1	0	0	0	0	1	0	1	0	0	0.2	0.2	0.2
B Bocock	PHI	SS	6	5	2	0	0	0	0	0	0	0	3	0	0	0	0	0
M Buehrle	CWS	P	2	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0
E Burriss	SF	2B	7	5	3	2	0	0	0	0	2	0	1	0	0	0.4	0.4	0.4
M Corpas	COL	P	51	5	0	0	0	0	0	0	0	2	3	0	0	0.286	0	0
A Galarraga	DET	P	2	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0
F Garcia	CWS	P	2	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0
B Hicks	ATL	3B	16	5	7	0	0	0	0	0	0	1	2	0	0	0.167	0	0
J Lackey	BOS	P	3	5	1	2	1	0	0	0	3	0	1	0	0	0.4	0.6	0.4
C Luebke	SD	P	4	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0
K Millwood	BAL	P	2	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0
J Niemann	TB	P	3	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0
R Ortiz	NYM	-	16	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0
C Sabathia	NYY	P	2	5	0	1	0	0	0	0	1	0	3	0	0	0.2	0.2	0.2
M Talbot	CLE	P	2	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0
J Weaver	LAD	P	42	5	0	1	0	0	0	0	1	0	3	0	0	0.2	0.2	0.2
B Wilson	SF	P	69	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C Young	SD	P	4	5	0	0	0	0	0	0	0	1	4	0	0	0.167	0	0
M Belisle	COL	P	73	4	0	1	1	0	0	2	2	0	2	0	0	0.4	0.5	0.25
B Buckner	ARI	P	3	4	0	1	0	0	0	0	1	1	0	0	0	0.4	0.25	0.25
F Carmona	CLE	P	2	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0
B Clevlen	ATL	OF	4	4	2	1	1	0	0	0	2	0	1	0	0	0.25	0.5	0.25
C Fisher	CIN	P	17	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0
G Floyd	CWS	P	2	4	0	1	0	0	0	0	1	1	2	0	0	0.4	0.25	0.25
G Gonzalez	OAK	P	2	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0
S Marcum	TOR	P	2	4	1	1	1	0	0	1	2	1	2	0	0	0.4	0.5	0.25
S Marshall	CHC	P	74	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0
C Martinez	ATL	P	18	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0
J Masterson	CLE	P	2	4	0	1	0	0	0	0	1	0	1	0	0	0.25	0.25	0.25
D Matsuzaka	BOS	P	2	4	0	2	0	0	0	1	2	0	0	0	0	0.5	0.5	0.5
V Mazzaro	OAK	P	2	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0
L Ondrusek	CIN	P	59	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0
A Pettitte	NYY	P	2	4	0	1	0	0	0	0	1	0	3	0	0	0.25	0.25	0.25
R Romero	TOR	P	2	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0
N Romero	BOS	2B	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
R Rowland-Smith	SEA	P	2	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0
J Russell	CHC	P	57	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0
J Samardzija	CHC	P	7	4	0	1	0	0	0	1	1	2	2	0	0	0.5	0.25	0.25
C Valdez	ARI	P	9	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0
J Verlander	DET	P	2	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0
C Villanueva	MIL	P	47	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0
T Wakefield	BOS	P	2	4	0	0	0	0	0	0	0	1	2	0	0	0.2	0	0
D Willis	SF	-	5	4	1	1	0	0	0	0	1	1	1	0	0	0.4	0.25	0.25
C Wilson	TEX	P	3	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0
J Arrieta	BAL	P	2	3	0	0	0	0	0	0	0	1	1	0	0	0.25	0	0
S Baker	MIN	P	2	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0
B Bergesen	BAL	P	1	3	0	1	0	0	0	0	1	0	0	0	0	0.333	0.333	0.333
M Boggs	STL	P	58	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
T Cahill	OAK	P	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
J Danks	CWS	P	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
B Esposito	HOU	C	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
R Franklin	STL	P	57	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0
M Garza	TB	P	2	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0
J Guthrie	BAL	P	1	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0
